natural_language_question,expected_answer,reference_sql,reference_tables,reference_fields,judge_reference,derivation_rationale
What is the inbound/outbound interaction breakdown for active contacts?,Outbound | 90424; Inbound | 89940,"SELECT i.direction, COUNT(*) AS direction_count FROM interactions i INNER JOIN contacts c ON i.contact_id = c.contact_id WHERE c.is_active = true GROUP BY i.direction ORDER BY direction_count DESC, i.direction ASC;","interactions, contacts","interactions.contact_id, interactions.direction, contacts.contact_id, contacts.is_active","The answer should break interactions down by direction (Inbound/Outbound) with counts, restricted to interactions belonging to active contacts.","Join interactions to contacts on contact_id, filter to is_active = true, group by direction and count, sort descending with direction as tie-break."
Which accounts had the most meeting interactions recorded directly against them?,Gould and Sons | 18; Williamson and Sons | 13; Young and Sons | 12; King Inc | 11; Lucas Garcia | 11,"SELECT a.account_name, COUNT(i.interaction_id) AS interaction_count FROM accounts a INNER JOIN interactions i ON a.account_id = i.account_id WHERE i.engagement_type = 'Meeting' GROUP BY a.account_id, a.account_name ORDER BY interaction_count DESC, a.account_name ASC LIMIT 5;","accounts, interactions","accounts.account_id, accounts.account_name, interactions.account_id, interactions.engagement_type, interactions.interaction_id","The answer should list the top accounts by count of Meeting-type interactions recorded on the direct account-to-interaction relationship, highest first.","Join accounts to interactions on account_id, filter to engagement_type = 'Meeting', count interactions grouped by account, sort descending with account_name as tie-break, show top 5."
How many email interactions came from contacts with the title IT Director?,3920,SELECT COUNT(i.interaction_id) AS interaction_count FROM interactions i INNER JOIN contacts c ON i.contact_id = c.contact_id WHERE i.channel = 'Email' AND c.title = 'IT Director';,"interactions, contacts","interactions.contact_id, interactions.channel, interactions.interaction_id, contacts.contact_id, contacts.title",The answer should state a single count of Email-channel interactions tied to contacts holding the title IT Director.,"Join interactions to contacts on contact_id, filter to channel = 'Email' and title = 'IT Director', count interaction rows."
What percentage of support cases for accounts in technology were resolved within their SLA deadline?,23.39,"SELECT ROUND(COUNT(*) FILTER (WHERE s.resolved_at IS NOT NULL AND s.resolved_at <= s.sla_due_at) * 100.0 / COUNT(*), 2) AS sla_compliance_pct FROM support_cases s INNER JOIN accounts a ON s.account_id = a.account_id WHERE a.industry = 'Technology';","support_cases, accounts","support_cases.account_id, support_cases.resolved_at, support_cases.sla_due_at, accounts.account_id, accounts.industry","A single percentage (0-100, two decimals): of all support cases for Technology-industry accounts, the share resolved on or before their SLA deadline. Unresolved cases count against the rate.","INNER JOIN support_cases to accounts on account_id, filter to industry = 'Technology'. Within SLA = resolved_at IS NOT NULL AND resolved_at <= sla_due_at. Rate = 100.0 * within-SLA count / total, rounded to 2 places."
How many customer accounts have no contacts on record?,5033,SELECT COUNT(*) AS accounts_without_contacts FROM accounts a LEFT JOIN contacts c ON a.account_id = c.account_id WHERE c.contact_id IS NULL;,"accounts, contacts","accounts.account_id, contacts.account_id, contacts.contact_id",The answer should state a single count of accounts that have zero associated contacts.,"Left join accounts to contacts on account_id, keep only rows where the join produced no match (contact_id IS NULL), count those accounts."
How many accounts have no interactions recorded directly against them?,6870,SELECT COUNT(*) AS accounts_without_interactions FROM accounts a LEFT JOIN interactions i ON a.account_id = i.account_id WHERE i.interaction_id IS NULL;,"accounts, interactions","accounts.account_id, interactions.account_id, interactions.interaction_id",The answer should state a single count of accounts that have zero interactions on the direct account-to-interaction relationship (interactions.account_id).,"Left join accounts to interactions on account_id, keep unmatched rows (interaction_id IS NULL), count those accounts. Interactions carry a nullable account_id, so this is the accounts with no directly-attributed engagement."
How many contacts have no recorded interactions?,12029,SELECT COUNT(*) AS contacts_without_interactions FROM contacts c LEFT JOIN interactions i ON c.contact_id = i.contact_id WHERE i.interaction_id IS NULL;,"contacts, interactions","contacts.contact_id, interactions.contact_id, interactions.interaction_id",The answer should state a single count of contacts with zero recorded interactions.,"Left join contacts to interactions on contact_id, keep unmatched rows (interaction_id IS NULL), count those contacts."
How many contacts are not enrolled in any campaign?,480,SELECT COUNT(*) AS contacts_without_campaigns FROM contacts c LEFT JOIN contact_campaigns cc ON c.contact_id = cc.contact_id WHERE cc.campaign_id IS NULL;,"contacts, contact_campaigns","contacts.contact_id, contact_campaigns.contact_id, contact_campaigns.campaign_id",The answer should state a single count of contacts with no row in the contact-campaign membership table.,"Left join contacts to contact_campaigns on contact_id, keep unmatched rows (campaign_id IS NULL), count those contacts."
How many campaigns have no attributed interactions?,1846,SELECT COUNT(*) AS campaigns_without_interactions FROM campaigns c LEFT JOIN interactions i ON c.campaign_id = i.campaign_id WHERE i.interaction_id IS NULL;,"campaigns, interactions","campaigns.campaign_id, interactions.campaign_id, interactions.interaction_id",The answer should state a single count of campaigns that have zero attributed interactions.,"Left join campaigns to interactions on campaign_id, keep unmatched rows (interaction_id IS NULL), count those campaigns."
How many completed campaigns have no attributed interactions?,450,SELECT COUNT(*) AS campaign_count FROM campaigns c LEFT JOIN interactions i ON c.campaign_id = i.campaign_id WHERE c.status = 'Completed' AND i.interaction_id IS NULL;,"campaigns, interactions","campaigns.campaign_id, campaigns.status, interactions.campaign_id, interactions.interaction_id",A single count of campaigns whose status is Completed that have zero attributed interactions.,"Left join campaigns to interactions on campaign_id, filter campaigns to status = 'Completed', keep unmatched rows (interaction_id IS NULL), count."
"For West-region accounts, how does engagement break down by interaction channel?",Phone | 88939; Web | 64366; Event | 46138; Webinar | 40509; Email | 7573,"SELECT i.channel AS entity, SUM(i.engagement_points) AS engagement_points FROM accounts a INNER JOIN contacts c ON a.account_id = c.account_id INNER JOIN interactions i ON c.contact_id = i.contact_id WHERE a.region = 'West' GROUP BY i.channel ORDER BY engagement_points DESC, entity ASC;","accounts, contacts, interactions","accounts.account_id, accounts.region, contacts.account_id, contacts.contact_id, interactions.contact_id, interactions.channel, interactions.engagement_points","Interaction channels ranked by total engagement_points for interactions of contacts whose account is in the West region, highest first, with totals.","Join accounts -> contacts -> interactions, filter to region = 'West', GROUP BY channel, SUM(engagement_points), order desc with channel tie-break. Engagement-point outliers are included."
"For accounts in healthcare, how do the support cases raised by their contacts break down by priority?",Medium | 4520; Low | 3003; High | 2381; Critical | 719,"SELECT s.priority AS entity, COUNT(s.case_id) AS case_count FROM accounts a INNER JOIN contacts c ON a.account_id = c.account_id INNER JOIN support_cases s ON c.contact_id = s.contact_id WHERE a.industry = 'Healthcare' GROUP BY s.priority ORDER BY case_count DESC, entity ASC;","accounts, contacts, support_cases","accounts.account_id, accounts.industry, contacts.account_id, contacts.contact_id, support_cases.contact_id, support_cases.priority, support_cases.case_id","Support-case priorities ranked by count for cases whose requesting contact belongs to a Healthcare-industry account, highest first.","Join accounts -> contacts -> support_cases, filter to industry = 'Healthcare', GROUP BY priority, count cases, order desc with priority tie-break. Account-level cases (NULL contact_id) are excluded."
"For strategic-tier accounts, what is the SLA compliance rate of the support cases raised by their contacts, by category?",Access | 24.38; Billing | 24.18; GeneralInquiry | 21.62; Integration | 22.94; ProductIssue | 25.77; ServiceRequest | 23.73,"SELECT s.category AS entity, ROUND(COUNT(*) FILTER (WHERE s.resolved_at IS NOT NULL AND s.resolved_at <= s.sla_due_at) * 100.0 / COUNT(*), 2) AS sla_compliance_pct FROM accounts a INNER JOIN contacts c ON a.account_id = c.account_id INNER JOIN support_cases s ON c.contact_id = s.contact_id WHERE a.customer_tier = 'Strategic' GROUP BY s.category ORDER BY entity ASC;","accounts, contacts, support_cases","accounts.account_id, accounts.customer_tier, contacts.account_id, contacts.contact_id, support_cases.contact_id, support_cases.category, support_cases.resolved_at, support_cases.sla_due_at","For each support-case category, the percentage (0-100, two decimals) of cases resolved on or before the SLA deadline, for cases whose contact belongs to a Strategic-tier account. Categories alphabetical.","Join accounts -> contacts -> support_cases, filter to customer_tier = 'Strategic', GROUP BY category. Within SLA = resolved_at IS NOT NULL AND resolved_at <= sla_due_at. Rate = 100.0 * within-SLA / total per category, 2 places, ordered by category."
"For West-region accounts, how do the support cases raised by their contacts break down by status?",Resolved | 4602; InProgress | 3593; New | 2394; Closed | 2391; PendingCustomer | 2126,"SELECT s.status AS entity, COUNT(s.case_id) AS case_count FROM accounts a INNER JOIN contacts c ON a.account_id = c.account_id INNER JOIN support_cases s ON c.contact_id = s.contact_id WHERE a.region = 'West' GROUP BY s.status ORDER BY case_count DESC, entity ASC;","accounts, contacts, support_cases","accounts.account_id, accounts.region, contacts.account_id, contacts.contact_id, support_cases.contact_id, support_cases.status, support_cases.case_id","Support-case statuses ranked by count for cases whose requesting contact belongs to a West-region account, highest first.","Join accounts -> contacts -> support_cases, filter to region = 'West', GROUP BY status, count cases, order desc with status tie-break."
"For accounts in healthcare, how does engagement break down by interaction type?",Meeting | 39803; EventAttendance | 32012; FormSubmission | 31819; WebinarAttendance | 28264; PhoneCall | 20626; LinkClick | 13456; EmailOpen | 4718,"SELECT i.engagement_type AS entity, SUM(i.engagement_points) AS engagement_points FROM accounts a INNER JOIN contacts c ON a.account_id = c.account_id INNER JOIN interactions i ON c.contact_id = i.contact_id WHERE a.industry = 'Healthcare' GROUP BY i.engagement_type ORDER BY engagement_points DESC, entity ASC;","accounts, contacts, interactions","accounts.account_id, accounts.industry, contacts.account_id, contacts.contact_id, interactions.contact_id, interactions.engagement_type, interactions.engagement_points","Interaction engagement types ranked by total engagement_points for interactions of contacts whose account is in the Healthcare industry, highest first.","Join accounts -> contacts -> interactions, filter to industry = 'Healthcare', GROUP BY engagement_type, SUM(engagement_points), order desc with engagement_type tie-break."
"For Retention campaigns, how does total multi-touch attribution weight break down by member status?",Sent | 1629.7025; Converted | 1611.8872; Targeted | 1584.1241; Engaged | 1572.1704; Responded | 1527.8675; OptedOut | 1519.2926,"SELECT cc.member_status, ROUND(SUM(cc.attribution_weight), 4) AS total_attribution_weight FROM contacts c INNER JOIN contact_campaigns cc ON c.contact_id = cc.contact_id INNER JOIN campaigns ca ON cc.campaign_id = ca.campaign_id WHERE ca.campaign_type = 'Retention' GROUP BY cc.member_status ORDER BY total_attribution_weight DESC, cc.member_status ASC;","contacts, contact_campaigns, campaigns","contacts.contact_id, contact_campaigns.contact_id, contact_campaigns.campaign_id, contact_campaigns.member_status, contact_campaigns.attribution_weight, campaigns.campaign_id, campaigns.campaign_type","Member statuses ranked by summed attribution_weight for Retention-campaign memberships, four decimals, highest first. Memberships with a missing attribution_weight contribute nothing.","Join contacts -> contact_campaigns -> campaigns, filter to campaign_type = 'Retention', GROUP BY member_status, ROUND(SUM(attribution_weight), 4). Rows where attribution_weight IS NULL (the ~2.5% missing-value imperfection) are skipped by SUM - the declared NULL handling for this measure. Order desc with member_status tie-break."
Which three campaign types drove the most customer engagement?,Awareness | 189982; CustomerEducation | 178379; Retention | 176866,"SELECT c.campaign_type, SUM(i.engagement_points) AS total_points FROM campaigns c INNER JOIN interactions i ON c.campaign_id = i.campaign_id GROUP BY c.campaign_type ORDER BY total_points DESC, c.campaign_type ASC LIMIT 3;","campaigns, interactions","campaigns.campaign_id, campaigns.campaign_type, interactions.campaign_id, interactions.engagement_points","The answer should name exactly three campaign types ranked by total engagement_points from campaign-attributed interactions, highest to lowest, with their totals.","Join campaigns to interactions on campaign_id, sum engagement_points grouped by campaign_type, sort descending with campaign_type as tie-break, take the top three."
Which accounts have the largest open support backlog right now?,Graham LLC | 13; Bond Bates and Beck | 12; Daniels Russell | 12; Mcgrath Ltd | 12; Barnes Moss and Yoder | 11,"SELECT a.account_name, COUNT(s.case_id) AS open_cases FROM accounts a INNER JOIN support_cases s ON a.account_id = s.account_id WHERE s.status IN ('New', 'InProgress', 'PendingCustomer') GROUP BY a.account_id, a.account_name ORDER BY open_cases DESC, a.account_name ASC LIMIT 5;","accounts, support_cases","accounts.account_id, accounts.account_name, support_cases.account_id, support_cases.status, support_cases.case_id","The answer should list the top accounts by number of unresolved support cases (status New, InProgress, or PendingCustomer), highest first.","Join accounts to support_cases on account_id, filter to unresolved statuses, count cases grouped by account, sort descending with account_name as tie-break, show top 5."
Which accounts look at risk from an open support backlog and no recent engagement?,Graham LLC | 13 | 0; Bond Bates and Beck | 12 | 0; Daniels Russell | 12 | 0; Mcgrath Ltd | 12 | 0; Barnes Moss and Yoder | 11 | 0,"WITH open_cases AS (SELECT account_id, COUNT(*) AS open_case_count FROM support_cases WHERE status IN ('New', 'InProgress', 'PendingCustomer') GROUP BY account_id), recent_engagement AS (SELECT c.account_id, COUNT(*) AS recent_interaction_count FROM interactions i INNER JOIN contacts c ON i.contact_id = c.contact_id WHERE i.interaction_at >= DATE '2026-06-02' AND c.account_id IS NOT NULL GROUP BY c.account_id) SELECT a.account_name, COALESCE(oc.open_case_count, 0) AS open_case_count, COALESCE(re.recent_interaction_count, 0) AS recent_interaction_count FROM accounts a LEFT JOIN open_cases oc ON a.account_id = oc.account_id LEFT JOIN recent_engagement re ON a.account_id = re.account_id WHERE COALESCE(oc.open_case_count, 0) >= 5 AND COALESCE(re.recent_interaction_count, 0) = 0 ORDER BY open_case_count DESC, a.account_name ASC LIMIT 5;","accounts, support_cases, interactions, contacts","accounts.account_id, accounts.account_name, support_cases.account_id, support_cases.status, interactions.contact_id, interactions.interaction_at, contacts.contact_id, contacts.account_id","An at-risk list: accounts with at least five unresolved support cases and zero interactions (through their contacts) in the 60 days before the reference date, with the two supporting numbers.","Count unresolved support cases per account, and interactions since 2026-06-02 (60 days before the fixed today 2026-08-01) attributed through the contact's account. Left join both to accounts, keep accounts with >= 5 open cases and 0 recent interactions, order by open-case count descending with account_name tie-break, top 5."
How did customer engagement change from Q1 2026 to Q2 2026?,233248 | 113025 | -120223 | -51.54 | down,"WITH q AS (SELECT SUM(CASE WHEN interaction_at >= DATE '2026-01-01' AND interaction_at < DATE '2026-04-01' THEN engagement_points ELSE 0 END) AS prev_q, SUM(CASE WHEN interaction_at >= DATE '2026-04-01' AND interaction_at < DATE '2026-07-01' THEN engagement_points ELSE 0 END) AS this_q FROM interactions) SELECT prev_q AS prev_quarter_points, this_q AS this_quarter_points, this_q - prev_q AS absolute_change, ROUND(CASE WHEN prev_q = 0 THEN NULL ELSE (this_q - prev_q) / CAST(prev_q AS DOUBLE) * 100 END, 2) AS pct_change, CASE WHEN this_q > prev_q THEN 'up' WHEN this_q < prev_q THEN 'down' ELSE 'flat' END AS direction FROM q;",interactions,"interactions.interaction_at, interactions.engagement_points","Total engagement_points for Q1 2026 and Q2 2026, the absolute and percentage change, and the direction. Q1 and Q2 are the two most recent complete calendar quarters relative to 2026-08-01.","Q1 2026 = 2026-01-01..2026-04-01, Q2 2026 = 2026-04-01..2026-07-01 - the two most recent COMPLETE quarters (data ends 2026-07-28, so Q3 is excluded). Sum engagement_points in each window over all interactions, then compute absolute and percentage change and direction."
Which region had the best customer-engagement trend from Q1 2026 to Q2 2026?,South | 46072 | 22797 | -50.52,"WITH by_region AS (SELECT a.region, SUM(CASE WHEN i.interaction_at >= DATE '2026-01-01' AND i.interaction_at < DATE '2026-04-01' THEN i.engagement_points ELSE 0 END) AS prev_q, SUM(CASE WHEN i.interaction_at >= DATE '2026-04-01' AND i.interaction_at < DATE '2026-07-01' THEN i.engagement_points ELSE 0 END) AS this_q FROM accounts a INNER JOIN contacts c ON a.account_id = c.account_id INNER JOIN interactions i ON c.contact_id = i.contact_id WHERE a.region IS NOT NULL GROUP BY a.region) SELECT region, prev_q AS prev_quarter_points, this_q AS this_quarter_points, ROUND(CASE WHEN prev_q = 0 THEN NULL ELSE (this_q - prev_q) / CAST(prev_q AS DOUBLE) * 100 END, 2) AS pct_change FROM by_region ORDER BY pct_change DESC NULLS LAST, region ASC LIMIT 1;","accounts, contacts, interactions","accounts.account_id, accounts.region, contacts.account_id, contacts.contact_id, interactions.contact_id, interactions.engagement_points, interactions.interaction_at","The single region with the highest percentage change in engagement_points from Q1 2026 to Q2 2026 - the largest gain, or (if every region declined) the smallest decline. Regions with zero Q1 engagement are excluded.","Q1 2026 = 2026-01-01..2026-04-01, Q2 2026 = 2026-04-01..2026-07-01. Join accounts -> contacts -> interactions, sum engagement_points per region per window, pct_change = (this_q - prev_q) / prev_q * 100, regions with zero Q1 sorted last, take the region with the highest pct_change (this does NOT assume growth)."
